ObjectId,Country,ISO2,ISO3,Indicator,Code,Unit,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015
1,Argentina,AR,ARG,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,,,,,,,,,100
2,Argentina,AR,ARG,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,,,,,,,,,151.436374355724
3,Argentina,AR,ARG,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,,,,,,,,,100
4,Argentina,AR,ARG,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,,,,,,,,,302.324999980528
5,Belgium,BE,BEL,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,,,,,,100,87.6280466071311,79.8752404875407,108.585672899011
6,Belgium,BE,BEL,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,,,,,,95.4411374538711,83.6336064761507,76.2452060804513,103.651506041562
7,Belgium,BE,BEL,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,,,,,,100,90.4584334533549,82.4142965775472,108.210845692705
8,Belgium,BE,BEL,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,,,,,,150.910196547237,136.51099971801,124.3715769482,163.301199920289
9,Brazil,BR,BRA,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,,,,,,100,116.687802843665,134.961928027263,175.655112339192
10,Brazil,BR,BRA,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,,,,,,118.680528340586,138.485700923883,160.173529241397,208.468415381403
11,Brazil,BR,BRA,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,,,,,,100,115.108767908924,131.963138744771,166.960042313806
12,Brazil,BR,BRA,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,,,,,,243.28514046026,280.042527689301,321.046707450984,406.188973455654
13,Brunei Darussalam,BN,BRN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,,,,100,47.5701689866587,47.8505292102136,62.956904796122,74.3451930662612,79.9859187102481
14,Brunei Darussalam,BN,BRN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,,,,190.352557737394,90.5510333861055,91.0847062425206,119.840078551714,141.517976556432,152.25524209471
15,Brunei Darussalam,BN,BRN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,,,,100,58.4660866964836,57.4819653249217,65.5747871010971,74.541267623077,79.775823983178
16,Brunei Darussalam,BN,BRN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,,,,362.812660394747,212.122364572212,208.551847642535,237.913629629682,270.445156155254,289.436789345199
17,Bulgaria,BG,BGR,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,,,100,108.608460893898,107.777156744109,128.182307260849,99.1950215739261,118.741272076227,149.27862637045
18,Bulgaria,BG,BGR,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,,,227.229456563181,246.790415470841,244.901447568886,291.267960198975,225.400308460163,269.815147255019,339.205011466555
19,Bulgaria,BG,BGR,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,,,100,112.778408249204,116.91693359082,117.666623840523,101.768307846612,100.679568733868,120.282088382809
20,Bulgaria,BG,BGR,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,,,559.506647451584,631.00269104438,654.158015437192,658.352582219575,569.400447400785,563.308879691578,672.986280195407
21,Canada,CA,CAN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,100,92.0465575147225,85.6497720818211,82.181168576409,84.7468341214043,77.7149557576917,72.3063923449311,67.1061358989375,70.6462524622703,76.0334217134813,92.0270896295096
22,Canada,CA,CAN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,237.441480473671,218.556708888006,203.368086853401,195.132183338389,201.224137592429,184.527541500522,171.685368460906,159.337802567111,167.743507745582,180.53488217128,218.51048405314
23,Canada,CA,CAN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,100,89.5871791791737,83.5596532168995,77.8761680728979,81.8890847210384,74.3337831283155,66.876138037326,62.9407463146123,64.2961532722574,68.0831905160919,78.5546574651597
24,Canada,CA,CAN,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,428.006366444012,383.438830404468,357.640635546869,333.314957294642,350.490496028775,318.153324207875,286.234128431641,269.390401313916,275.191629383862,291.400389887079,336.21893508917
25,"China, P.R.: Hong Kong",HK,HKG,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,100,94.710828910962,81.9075165521541,69.6872213719742,93.8248578560121,95.0596301812967,84.4393794833165,75.854079914022,69.2432466842058,88.3734217788313,78.9530169288932
26,"China, P.R.: Hong Kong",HK,HKG,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,171.16464795972,162.111456885181,140.196712359044,119.27988713425,160.594987647951,162.708481351628,144.530366631991,129.83536884792,118.519959422901,151.264056277695,135.139653479918
27,"China, P.R.: Hong Kong",HK,HKG,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,100,93.1653666599224,84.7327828266592,75.1711632564398,93.1273476809988,94.5696641089454,85.3130771976866,76.7078420146051,70.3762961005858,83.1041805427197,74.390728995132
28,"China, P.R.: Hong Kong",HK,HKG,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,297.319585856248,276.998882314736,251.927158984697,223.498591277371,276.885844444054,281.174133674361,253.652487805383,228.067438197089,209.242512107229,247.085005418843,221.17820736377
29,Colombia,CO,COL,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,,,,,,,,,100
30,Colombia,CO,COL,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,,,,,,,,,137.0014184
31,Colombia,CO,COL,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,,,,,,,,,100
32,Colombia,CO,COL,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,,,,,,,,,272.91222508887
33,Costa Rica,CR,CRI,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,,100,79.2445740774438,63.7076345101494,56.5198164659023,64.6136300293702,66.9835597526237,65.4344064928592,43.2767927920649
34,Costa Rica,CR,CRI,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,,78.6215538589891,62.303315488624,50.087932178685,44.4367579437411,50.8002399337892,52.6635155075771,51.4455471430931,34.0248869534564
35,Costa Rica,CR,CRI,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,,100,81.0110362397906,66.0027026509552,57.8690490055314,58.7549358066533,61.0220245255305,58.8377518912436,38.8602925979939
36,Costa Rica,CR,CRI,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,,134.51470004817,108.971752403869,88.7833374946179,77.842377690519,79.0340256638146,82.0835932538381,79.1454254715928,52.2728060260327
37,"Croatia, Rep. of",HR,HRV,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,,,,100,96.350612687396,103.331627025255,96.4730532044525,110.03662569102,115.77826248813
38,"Croatia, Rep. of",HR,HRV,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,,,,85.3793854784667,82.2635610172363,88.223908159064,82.3680999782758,93.9485948162332,98.8507690300112
39,"Croatia, Rep. of",HR,HRV,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,,,,100,90.068057521673,94.8460041506083,87.9530015125614,93.5889192566653,99.8702029439406
40,"Croatia, Rep. of",HR,HRV,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers),ECFLM_RO,Ratio,,,,,,198.317687089896,178.620888483779,188.096401728673,174.426358325853,185.603380042248,198.060276570408
41,Cyprus,CY,CYP,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities - normalized),ECFLIN_RO,Ratio,,,,,,100,104.305173818593,92.9642975704631,83.0536366555419,79.2248076223416,87.8198813020689
42,Cyprus,CY,CYP,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission intensities),ECFLI_RO,Ratio,,,,,,73.6870713563862,76.8594278601092,68.5026682867103,61.1997925064429,58.3784405246346,64.7118986001492
43,Cyprus,CY,CYP,Carbon footprint-adjusted loans to total loans for deposit takers (Based on emission multipliers - normalized),,Ratio,,,,,,100,96.2905758946278,88.9654021016547,81.3852724350915,78.3272993877852,84.0902673307615
